Question,CoT,Response
Describe a thunderstorm to a blind person.,"Think about the key sensory elements: the booming sound of thunder, flashes of lightning, the smell of rain, and the feeling of wind and wetness. Emphasize how the environment changes rapidly and the emotional tension in the atmosphere.","A thunderstorm feels like nature's sudden roar. The sky rumbles with deep, rolling booms that shake the air and ground. Lightning splits the silence in bright flashes you may not see but feel in the sudden hush before each crack. Rain pours steadily, cool and sharp against your skin, and the wind pushes unpredictably, like a powerful breath from the sky."
Describe a crowded beach on a summer afternoon.,"Consider sensory overload: heat, sand, laughter, crashing waves, smells of sunscreen and food. Emphasize the busy and warm environment.","A crowded beach buzzes with life. The sun beats down with a steady warmth that heats the sand until it stings your feet. Laughter and splashing fill the air, blending with the rhythmic crashing of waves. The scent of salt, sunscreen, and grilled snacks wafts around you, while sticky breeze clings to your skin. The atmosphere is vibrant and full of energy."
Describe a forest in autumn to a blind person.,"Focus on crisp air, crunchy leaves, earthy smells, rustling branches, and shifting wildlife. Convey change and calmness.","An autumn forest is cool and serene. The air is crisp, carrying a rich scent of soil and fallen leaves. Each step crunches underfoot, dry leaves crackling like paper. Trees gently rustle overhead as the wind threads through their thinning branches. You might hear a squirrel scamper or a bird chirp in the distance. It feels like the world is slowing down, getting ready to rest."
Describe a snowfall at night.,"Emphasize the hush, softness, cold, and how snow changes the acoustics of the world. Include how tactile sensations change.","A snowfall at night is quiet magic. The world feels muffled, like wrapped in a soft blanket. Snowflakes kiss your skin with delicate cold. The ground feels padded and soft beneath your feet. Each sound—your breath, footsteps, distant cars—becomes sharper against the stillness. It’s peaceful, almost dreamlike, as if time has paused."
Describe a bustling street market.,"Highlight the sensory chaos—smells, voices, textures, and movement. Contrast variety and energy.","A bustling street market is alive with motion. Voices call out in many languages, bargaining, laughing. You feel constant movement around you—brushes of shoulders, shifting air. Scents swirl: spices, sweet fruit, frying food. Tables are packed with goods: smooth fruits, rough baskets, slick fabric. It’s a place of color, noise, and endless discovery."
Describe a newborn baby to a blind person.,"Think about softness, tiny movements, warmth, breath sounds, and emotional tone.","A newborn baby is incredibly small and soft, like a bundle of warmth and fragility. Their skin feels smooth and delicate, their tiny fingers barely able to wrap around yours. They move with slow, jerky motions and make quiet coos, sighs, or whimpers. Holding them feels like cradling life at its beginning—tender, gentle, and full of wonder."
Describe a city skyline at sunset.,"Focus on the changing light, silhouettes, and emotional impact. Use metaphor and sensory equivalents.","A city skyline at sunset feels like the end of a long exhale. As the sun lowers, the warmth fades and cool air begins to settle. You can sense the shift in light as everything slows—buildings no longer reflect heat but become shadows against the fading glow. The air gets quieter, and there's a gentle hum of the city preparing for night. It’s a calm, golden transition."
Describe a cat curled up on a windowsill.,"Focus on stillness, warmth, and the feeling of observing calmness. Think about textures and quiet energy.","A cat curled up on a windowsill is the essence of calm. You feel its soft fur, warm from the sun, rising and falling gently as it breathes. It’s perfectly still, with only the occasional flick of an ear or tail. There’s a peaceful energy, like nothing in the world needs to change. It radiates comfort and quiet contentment."
Describe a candlelit dinner.,"Emphasize the intimacy, soft lighting, clinking cutlery, smells of food and wax. Think warmth and mood.","A candlelit dinner feels slow and intentional. The flicker of flames makes the room warm and gently shadowed. The table is filled with aromas—savory food, maybe a hint of wine, and the subtle scent of wax. Voices are hushed, and the clink of glasses or utensils feels more meaningful. It’s a moment designed for closeness and presence."
Describe a fireworks show to a blind person.,"Use sound, vibrations, and emotion. Highlight contrast between silence and booming sound, crowd reactions, and timing.","A fireworks show is a festival of sound and feeling. It starts with a sharp whistle, then a sudden, chest-thudding boom. Vibrations ripple through the air, and you hear the crackle or sizzle as bursts explode above. There's a pause, then another—each one unpredictable, keeping your senses alert. People gasp or cheer, voices rising with the rhythm. It’s exciting, chaotic, and celebratory."
Describe a library during a rainy afternoon.,"Consider quiet, soft ambient sound from rain, the stillness of people reading, and the smell of old books. The calm atmosphere and focus should be emphasized.","A library during a rainy afternoon is hushed and comforting. Raindrops tap steadily against the windows, adding a gentle rhythm to the silence. Pages turn softly, and occasional footsteps echo on wood floors. The air smells of paper and time. Everything feels slow, thoughtful, and peaceful—perfect for getting lost in ideas."
Describe a wedding ceremony.,"Highlight formal clothing textures, emotional tone, ceremonial structure, music, and crowd energy. Think about joy and anticipation.","A wedding ceremony feels like a moment of collective pause and joy. There’s a buzz of people dressed in fine fabrics—lace, silk, crisp suits—whispering and waiting. Soft music plays, often strings or piano. The air is filled with emotion: anticipation, love, a touch of nervousness. When vows are spoken, silence wraps the space in reverence."
Describe a rollercoaster ride.,"Focus on motion, speed, wind, body sensations, fear, and exhilaration. It’s about physical extremes and emotional spikes.","A rollercoaster is a rush of wind, gravity, and adrenaline. You climb slowly, heart pounding, then plunge—screaming, laughing—as wind slams your face and your stomach lurches. The track twists and dives unpredictably. Your body is pressed, lifted, jolted. It’s thrilling chaos that ends with breathless excitement."
